Description,Stop ID,Longitude,Latitude,Routes,Municipality,Nearest Intersection,Bikerack,Bench,Shelter,Info Booth,Signpost,Discontinued,Location,NYS Municipal Boundaries,New York Zip Codes,Counties
Carman Rd & Okara Dr,1578,-73.93206,42.7159,763,GUILDERLAND,STATE HWY 146,No,No,No,No,Yes,No,"{'latitude': '42.7159', 'longitude': '-73.93206'}",832,72,2030
Guilderland Ave & Draper Ave,1617,-73.97033,42.78798,763,ROTTERDAM,IRENE,No,No,No,No,Yes,No,"{'latitude': '42.78798', 'longitude': '-73.97033'}",105,75,2142
New Scotland Rd & Holy Names HS Entrance,1001,-73.83369,42.65001,"13,113,805, 806",ALBANY,NEW SCOTLAND,No,Yes,Yes,No,Yes,No,"{'latitude': '42.65001', 'longitude': '-73.83369'}",814,45,2030
Central Ave & Yardboro Ave,195,-73.799251,42.688068,"1, 807",ALBANY,YARBORO,No,No,No,No,Yes,No,"{'latitude': '42.688068', 'longitude': '-73.799251'}",814,42,2030
1950 Burdett Ave (Troy High School),12018,-73.67321,42.727089,87,TROY,BURDETT,No,No,No,No,Yes,No,"{'latitude': '42.727089', 'longitude': '-73.67321'}",110,11,2138
Davis Ave & Buckingham Dr,10641,-73.81527,42.66156,"734, 806",ALBANY,GREENWAY,No,No,No,No,Yes,No,"{'latitude': '42.66156', 'longitude': '-73.81527'}",814,45,2030
Broadway & N. 3rd St,501,-73.73723,42.67372,"22,801, 805",ALBANY,3RD,No,No,No,No,Yes,No,"{'latitude': '42.67372', 'longitude': '-73.73723'}",814,41,2030
Broadway & Quackenbush Sq,12911,,,803,ALBANY,US HWY 9,No,No,No,No,No,No,,,,
Altamont Ave & Van Cortland St,11229,-73.93548,42.79103,352,SCHENECTADY,SANTA FE,No,No,No,No,Yes,No,"{'latitude': '42.79103', 'longitude': '-73.93548'}",104,72,2142
Central Ave & Fagan Ave,10264,-73.88857,42.76643,355,NISKAYUNA,FAGAN,No,No,No,No,Yes,No,"{'latitude': '42.76643', 'longitude': '-73.88857'}",107,73,2142
2nd Ave & 18th St,11003,-73.7018,42.72884,"22, 809",WATERVLIET,2ND,No,Yes,Yes,No,Yes,No,"{'latitude': '42.72884', 'longitude': '-73.7018'}",828,19,2030
Rt 146 & Tawasentha Park,964,-73.9354,42.70354,719,GUILDERLAND,ALTAMONT,No,No,No,No,Yes,No,"{'latitude': '42.70354', 'longitude': '-73.9354'}",832,1142,2030
Sand Creek Rd & Brickley Dr,10539,-73.7939,42.69947,125,COLONIE,BRICKLEY,No,No,No,No,Yes,No,"{'latitude': '42.69947', 'longitude': '-73.7939'}",834,42,2030
Van Rensselaer Blvd & Wolfert Ave,3341,-73.7431,42.67973,182,COLONIE,WOLFERT,No,No,No,No,Yes,No,"{'latitude': '42.67973', 'longitude': '-73.7431'}",834,48,2030
700 Patroon Creek Blvd (SEFCU),10357,-73.80691,42.68384,712,ALBANY,CAMPUS ACCESS,No,No,No,No,Yes,No,"{'latitude': '42.68384', 'longitude': '-73.80691'}",814,43,2030
Rt 7 & Verdoy Volunteer Fire Dept,11303,-73.80022,42.76358,370,COLONIE,STATE HWY 7,No,No,No,No,Yes,No,"{'latitude': '42.76358', 'longitude': '-73.80022'}",834,1288,2030
Western Ave & Campus Access Road,866,-73.812586,42.67317,"10,11,763,806, 808",ALBANY,US HWY 20,No,No,No,No,Yes,No,"{'latitude': '42.67317', 'longitude': '-73.812586'}",814,40,2030
Craig St & Emmett St,3645,-73.93615,42.80538,353,SCHENECTADY,ALBANY,No,No,No,No,Yes,No,"{'latitude': '42.80538', 'longitude': '-73.93615'}",104,76,2142
Lark St & Manning Blvd,664,-73.7542,42.66441,"100,138,801,803, 805",ALBANY,MANNING,No,No,No,No,Yes,No,"{'latitude': '42.66441', 'longitude': '-73.7542'}",814,47,2030
Delaware Ave & Adams St,1326,-73.83466,42.62163,18,BETHLEHEM,RAMP,No,No,No,No,Yes,No,"{'latitude': '42.62163', 'longitude': '-73.83466'}",837,1180,2030
Broadway & 1st,11,-73.71184,42.70737,"22, 809",COLONIE,IDLEWILD PARK,No,Yes,Yes,No,Yes,No,"{'latitude': '42.70737', 'longitude': '-73.71184'}",834,41,2030
Albany Shaker Rd & Osobrne Rd,2713,-73.77724,42.706616,737,COLONIE,OSBORN,No,No,No,No,Yes,No,"{'latitude': '42.706616', 'longitude': '-73.77724'}",834,48,2030
New Scotland Ave & S. Lake Ave,699,-73.782545,42.652873,"13,100, 806",ALBANY,NEW SCOTLAND,No,No,No,No,Yes,No,"{'latitude': '42.652873', 'longitude': '-73.782545'}",814,45,2030
Central Ave & N Manning Blvd - N. Manning Station,145,-73.779762,42.671202,"1,712,807, 905",ALBANY,MANNING,No,Yes,Yes,No,Yes,No,"{'latitude': '42.671202', 'longitude': '-73.779762'}",814,43,2030
66 Hackett Blvd,1170,-73.78008,42.64468,"734, 805",ALBANY,HACKETT,No,No,No,No,Yes,No,"{'latitude': '42.64468', 'longitude': '-73.78008'}",814,40,2030
Western Ave & N. Pine Ave,277,-73.79346,42.66708,"10,11,763,806, 808",ALBANY,WESTERN,No,No,No,No,Yes,No,"{'latitude': '42.66708', 'longitude': '-73.79346'}",814,40,2030
Carman Rd & Whispering Pines,1583,-73.939007,42.730425,763,GUILDERLAND,WHISPERING PINES WAY,No,No,No,No,Yes,No,"{'latitude': '42.730425', 'longitude': '-73.939007'}",832,72,2030
Nott St & Ardsley Pl,2819,-73.911206,42.818277,"352, 354",SCHENECTADY,UNADILLA,No,No,No,No,Yes,No,"{'latitude': '42.818277', 'longitude': '-73.911206'}",104,77,2142
Hackett Blvd & S. Manning Blvd,1293,-73.806908,42.653479,"734, 805",ALBANY,MANNING,No,No,No,No,Yes,No,"{'latitude': '42.653479', 'longitude': '-73.806908'}",814,45,2030
Burdett Ave & Sherry Rd,12017,-73.671972,42.731223,87,TROY,BURDETT,No,No,No,No,Yes,No,"{'latitude': '42.731223', 'longitude': '-73.671972'}",110,11,2138
Columbia Tpke & Grove St,2246,-73.731041,42.616224,233,EAST GREENBUSH,ORCHARD,No,No,No,No,Yes,No,"{'latitude': '42.616224', 'longitude': '-73.731041'}",129,1309,2138
Altamont Rd & Koonz Rd,12753,,,719,NEW SCOTLAND,KLING,No,No,No,No,Yes,No,,,,
River St & Rensselaer St,803,-73.68495,42.74325,85,TROY,RENSSELAER,No,No,No,No,Yes,No,"{'latitude': '42.74325', 'longitude': '-73.68495'}",110,11,2138
Guilderland Ave & Thopmson St,1619,-73.965114,42.793404,763,SCHENECTADY,BRADT,No,No,No,No,Yes,No,"{'latitude': '42.793404', 'longitude': '-73.965114'}",104,75,2142
Colonial Ave & Stonehenge Ln,10636,-73.80714,42.66622,"734, 806",ALBANY,CORTLAND,No,No,No,No,Yes,No,"{'latitude': '42.66622', 'longitude': '-73.80714'}",814,40,2030
Whitehall Rd & Westford St,12894,,,"6,13,113,138, 804",ALBANY,WHITEHALL,No,No,No,No,Yes,No,,,,
Pawling Ave & Forest Ave,4457,-73.658262,42.703413,286,TROY,JESSE,No,No,No,No,Yes,No,"{'latitude': '42.703413', 'longitude': '-73.658262'}",110,11,2138
Maple Rd & Scotch Pine Dr,2190,-73.91721,42.64795,719,NEW SCOTLAND,APPLEBLOSSOM,No,No,No,No,Yes,No,"{'latitude': '42.64795', 'longitude': '-73.91721'}",830,16,2030
Curry Rd & Van Dyke Ave,1650,-73.96779,42.78579,763,ROTTERDAM,VAN DYKE,No,No,No,No,Yes,No,"{'latitude': '42.78579', 'longitude': '-73.96779'}",105,75,2142
Rt 7 & Garling Dr,2469,-73.79166,42.76149,370,COLONIE,STATE HWY 7,No,No,No,No,Yes,No,"{'latitude': '42.76149', 'longitude': '-73.79166'}",834,1288,2030
Rt 7 & E. Hill Rd,2724,-73.63155,42.55914,520,SCHODACK,COUNTY HWY 7,No,No,No,No,Yes,No,"{'latitude': '42.55914', 'longitude': '-73.63155'}",112,1188,2138
High St & Bedford St,4151,-73.70451,42.7729,"182, 802",COHOES,BEDFORD,No,No,No,No,Yes,No,"{'latitude': '42.7729', 'longitude': '-73.70451'}",835,1176,2030
Delaware Ave & Hurlbut St,483,-73.77828,42.64239,"18,801, 805",ALBANY,HURLBUT,No,No,No,No,Yes,No,"{'latitude': '42.64239', 'longitude': '-73.77828'}",814,46,2030
Rt 7 & Ronald Dr,3621,-73.81768,42.76819,"117,370, 737",COLONIE,STATE HWY 7,No,No,No,No,Yes,No,"{'latitude': '42.76819', 'longitude': '-73.81768'}",834,1288,2030
Crane St & Ostrander St,12476,-73.94582,42.79542,353,SCHENECTADY,OSTRANDER,No,No,No,No,Yes,No,"{'latitude': '42.79542', 'longitude': '-73.94582'}",104,72,2142
Baker Ave & Alder St,11741,-73.7309,42.78081,"522, 802",COHOES,ALDER,No,No,No,No,Yes,No,"{'latitude': '42.78081', 'longitude': '-73.7309'}",834,1176,2030
3071 Broadway (Taylor and Vadney Sporting Goods),3501,-73.97974,42.79013,351,ROTTERDAM,COX,No,No,No,No,Yes,No,"{'latitude': '42.79013', 'longitude': '-73.97974'}",105,75,2142
Van Vranken Ave & Nott St,2413,-73.92686,42.82013,"351, 998",SCHENECTADY,NOTT,No,No,No,No,Yes,No,"{'latitude': '42.82013', 'longitude': '-73.92686'}",104,77,2142
Broadway & Clinton Ave,11588,-73.748882,42.65422,"22,801, 803",ALBANY,US HWY 9,No,No,No,No,Yes,No,"{'latitude': '42.65422', 'longitude': '-73.748882'}",814,44,2030
1802 Union St,2488,-73.896373,42.800771,370,NISKAYUNA,TROY,No,No,No,No,Yes,No,"{'latitude': '42.800771', 'longitude': '-73.896373'}",107,78,2142
Burden Ave & Cross St,4250,-73.6973,42.70536,"85, 224",TROY,KELLY,No,Yes,Yes,No,Yes,No,"{'latitude': '42.70536', 'longitude': '-73.6973'}",110,11,2138
New Scotland Ave & Myrtle Ave,1171,-73.77395,42.65316,"13, 734",ALBANY,MYRTLE,No,No,No,No,Yes,No,"{'latitude': '42.65316', 'longitude': '-73.77395'}",814,45,2030
3rd St & Catherine St,11401,-73.73426,42.65075,"214, 808",RENSSELAER,CATHERINE,No,No,No,No,Yes,No,"{'latitude': '42.65075', 'longitude': '-73.73426'}",115,1309,2138
2212  Burdett Ave,7151,-73.671349,42.733481,87,TROY,COOK,No,No,No,No,Yes,No,"{'latitude': '42.733481', 'longitude': '-73.671349'}",110,11,2138
Arch St & George St,11093,-73.691519,42.745778,182,GREEN ISLAND,GEORGE,No,No,No,No,Yes,No,"{'latitude': '42.745778', 'longitude': '-73.691519'}",833,13,2030
S. Pearl St & 4th Ave,10671,-73.758219,42.639231,"6,7,803,804, 809",ALBANY,PEARL,No,No,No,No,Yes,No,"{'latitude': '42.639231', 'longitude': '-73.758219'}",814,39,2030
Nelson Ave & Lake Ave,11506,-73.77644,43.08331,451,SARATOGA SPRINGS,MARION,No,No,No,No,Yes,No,"{'latitude': '43.08331', 'longitude': '-73.77644'}",994,147,2141
Hackett Blvd & Academy Rd,10819,-73.78648,42.64468,"734, 806",ALBANY,MARINELLO,No,No,No,No,Yes,No,"{'latitude': '42.64468', 'longitude': '-73.78648'}",814,40,2030
113 Sand Creek Rd (West Albany Fire Dept),616,-73.78526,42.69184,125,COLONIE,OLD MYERS,No,No,No,No,Yes,No,"{'latitude': '42.69184', 'longitude': '-73.78526'}",834,42,2030
Woodlawn Ave & Partridge St,1128,-73.78953,42.65672,805,ALBANY,NORWOOD,No,No,No,No,Yes,No,"{'latitude': '42.65672', 'longitude': '-73.78953'}",814,45,2030
Vliet Blvd & Linda Ave,4160,-73.72883,42.77935,802,COHOES,BAYBERRY,No,No,No,No,Yes,No,"{'latitude': '42.77935', 'longitude': '-73.72883'}",835,1176,2030
Broadway & Cleveland Ave,1628,-73.97173,42.79515,351,SCHENECTADY,CLEVELAND,No,No,No,No,Yes,No,"{'latitude': '42.79515', 'longitude': '-73.97173'}",104,75,2142
Church St & Clinton St,12168,-73.78839,43.08395,451,SARATOGA SPRINGS,CLINTON,No,No,No,No,Yes,No,"{'latitude': '43.08395', 'longitude': '-73.78839'}",994,147,2141
Madison Ave & Grand St,12350,-73.756958,42.646426,"114, 870",ALBANY,GRAND,No,No,No,No,Yes,No,"{'latitude': '42.646426', 'longitude': '-73.756958'}",814,39,2030
Rt 2 & Herbert Dr,12367,-73.764141,42.750122,182,COLONIE,HERBERT,No,Yes,Yes,No,Yes,No,"{'latitude': '42.750122', 'longitude': '-73.764141'}",834,1288,2030
Western Ave & Quail St,258,-73.77746,42.66187,"10,11, 808",ALBANY,QUAIL,No,No,No,No,Yes,No,"{'latitude': '42.66187', 'longitude': '-73.77746'}",814,40,2030
Rt 50 & Washington St,11481,-73.84898,43.00361,"450, 451",MILTON,WASHINGTON,No,No,No,No,Yes,No,"{'latitude': '43.00361', 'longitude': '-73.84898'}",999,1148,2141
2nd Ave & W. Van Vechton St,3317,-73.776468,42.639086,"6,801,803,804, 809",ALBANY,RAYMO,No,No,No,No,Yes,No,"{'latitude': '42.639086', 'longitude': '-73.776468'}",814,46,2030
830 S. Pearl (Durham School Services Building),10714,-73.76792,42.62295,"7, 806",ALBANY,PORT ACCESS,No,No,No,No,Yes,No,"{'latitude': '42.62295', 'longitude': '-73.76792'}",814,39,2030
2 Wade Rd (Entrance to Metro Mattress),12783,-73.777172,42.755192,190,COLONIE,WADE,No,No,No,No,Yes,No,"{'latitude': '42.755192', 'longitude': '-73.777172'}",834,1288,2030
Columbia Tpke & Elliot Rd,12946,-73.708529,42.597561,233,EAST GREENBUSH,COLUMBIA TPKE,No,No,No,No,Yes,No,"{'latitude': '42.597561', 'longitude': '-73.708529'}",129,1186,2138
Washington Ave & Rockefeller St,10778,-73.71272,42.65747,"214, 808",RENSSELAER,ROCKEFELLER,No,No,No,No,Yes,No,"{'latitude': '42.65747', 'longitude': '-73.71272'}",115,1309,2138
Rt 50 & Brookline Rd,2317,-73.861702,42.975577,450,BALLSTON,SARATOGA,No,No,No,No,Yes,No,"{'latitude': '42.975577', 'longitude': '-73.861702'}",1011,1148,2141
Clums Corner,11010,-73.57156,42.75019,,BRUNSWICK,STATE HIGHWAY 2,No,No,No,No,Yes,No,"{'latitude': '42.75019', 'longitude': '-73.57156'}",130,11,2138
Teresian House,12548,-73.85621,42.700488,155,ALBANY,COLUMBIA CIRCLE,No,No,No,No,Yes,No,"{'latitude': '42.700488', 'longitude': '-73.85621'}",814,40,2030
N. Pearl St & Wilson St,11429,-73.749692,42.656297,"100,138,801, 805",ALBANY,US HWY 9,No,No,No,No,Yes,No,"{'latitude': '42.656297', 'longitude': '-73.749692'}",814,44,2030
Gerling St & Rosa Rd,11287,-73.91116,42.82426,"351, 352",SCHENECTADY,ROSA,No,No,No,No,Yes,No,"{'latitude': '42.82426', 'longitude': '-73.91116'}",104,77,2142
Wolf Rd & Lazare Lincoln Dealer,10519,-73.80553,42.71929,"117, 190",COLONIE,COMPUTER DR,No,No,No,No,Yes,No,"{'latitude': '42.71929', 'longitude': '-73.80553'}",834,42,2030
Clinton Ave & Robin St,3275,-73.76707,42.66411,"125,801, 805",ALBANY,ROBIN,No,No,No,No,Yes,No,"{'latitude': '42.66411', 'longitude': '-73.76707'}",814,43,2030
Clinton Ave & Ontario St,10702,-73.7738,42.6681,"125,801, 805",ALBANY,CLINTON,No,No,No,No,Yes,No,"{'latitude': '42.6681', 'longitude': '-73.7738'}",814,43,2030
Rt 7 & Niskayuna Rd,2475,-73.83014,42.77519,370,NISKAYUNA,STATE HWY 7,No,No,No,No,Yes,No,"{'latitude': '42.77519', 'longitude': '-73.83014'}",107,78,2142
Washington Ave & N. Allen St,3287,-73.78725,42.6707,"12,99, 803",ALBANY,LAWRENCE,No,Yes,Yes,No,Yes,No,"{'latitude': '42.6707', 'longitude': '-73.78725'}",814,43,2030
Nott St & McClellan St,3517,-73.907247,42.817639,"352, 354",SCHENECTADY,VAN CURLER,No,No,No,No,Yes,No,"{'latitude': '42.817639', 'longitude': '-73.907247'}",104,77,2142
Columbia St & Baker Ave,4017,-73.72794,42.77202,182,COHOES,FRANCIS,No,No,No,No,Yes,No,"{'latitude': '42.77202', 'longitude': '-73.72794'}",835,1176,2030
Fuller Rd & Loughlin St,12664,-73.832281,42.688143,"117, 190",ALBANY,TRICENTENIAL,No,No,No,No,Yes,No,"{'latitude': '42.688143', 'longitude': '-73.832281'}",814,49,2030
Rivers Casino,12914,-73.93768,42.82251,871,SCHENECTADY,FRONT,No,No,No,No,No,No,"{'latitude': '42.82251', 'longitude': '-73.93768'}",104,74,2142
New Scotland Ave & Hollywood Ave,1048,-73.79424,42.65412,"13, 805",ALBANY,HOLLYWOOD,No,No,No,No,Yes,No,"{'latitude': '42.65412', 'longitude': '-73.79424'}",814,45,2030
Geyser Rd & Grande Industrial Park,12238,-73.821869,43.059557,451,SARATOGA SPRINGS,CASINO,No,No,No,No,Yes,No,"{'latitude': '43.059557', 'longitude': '-73.821869'}",994,147,2141
2481 Rt 9W (Ravena Shop & Save),12625,,,813,COEYMANS,CARY,No,No,No,No,Yes,No,,,,
Congress St & Marshall St,4355,-73.68068,42.72338,289,TROY,13TH,No,No,No,No,Yes,No,"{'latitude': '42.72338', 'longitude': '-73.68068'}",110,11,2138
Vliet Blvd & Willowbrook Ln,11072,-73.729224,42.779262,"522, 802",COHOES,LINDA,No,No,No,No,Yes,No,"{'latitude': '42.779262', 'longitude': '-73.729224'}",835,1176,2030
S. Pearl St & McCarty Ave,10689,-73.763778,42.633615,"7,716, 806",ALBANY,1ST,No,No,No,No,No,No,"{'latitude': '42.633615', 'longitude': '-73.763778'}",814,39,2030
Albany Shaker Rd & Shaker Park Dr,2693,-73.758114,42.680591,737,ALBANY,ROSEMARY,No,No,No,No,Yes,No,"{'latitude': '42.680591', 'longitude': '-73.758114'}",814,48,2030
15th St & Tibbits Ave,2884,-73.67847,42.72581,"87, 286",TROY,TIBBITS,No,No,No,No,Yes,No,"{'latitude': '42.72581', 'longitude': '-73.67847'}",110,11,2138
Guilderland Ave & Harrison Ave,3688,-73.9673,42.79128,763,SCHENECTADY,WILLIAM,No,No,No,No,Yes,No,"{'latitude': '42.79128', 'longitude': '-73.9673'}",104,75,2142
Rt 7 & Washington Ave,2637,-73.60752,42.53165,520,SCHODACK,WASHINGTON,No,No,No,No,Yes,No,"{'latitude': '42.53165', 'longitude': '-73.60752'}",112,1296,2138
State St & Linda Ln,2378,-73.897571,42.774583,355,SCHENECTADY,STATE HWY 5,No,No,No,No,Yes,No,"{'latitude': '42.774583', 'longitude': '-73.897571'}",104,73,2142
Washington Ave & Danker Ave,3399,-73.79512,42.67522,"12, 114",ALBANY,FAIRLAWN,No,No,No,No,Yes,No,"{'latitude': '42.67522', 'longitude': '-73.79512'}",814,43,2030
Manor Ave & Arthur Dr,12926,,,802,COHOES,4TH,No,No,No,No,Yes,No,,,,
Watervliet Shaker Rd & New Karner Rd,12644,-73.840091,42.742359,155,COLONIE,WALL,No,No,No,No,Yes,No,"{'latitude': '42.742359', 'longitude': '-73.840091'}",834,42,2030
Columbia Tpke & Horizon View Dr,2513,-73.69427,42.58422,233,EAST GREENBUSH,HORIZON VIEW DR,No,No,No,No,Yes,No,"{'latitude': '42.58422', 'longitude': '-73.69427'}",129,1186,2138
Hudson Valley Community College,4258,-73.68806,42.6962,"85, 224",TROY,CENTER,No,Yes,Yes,No,Yes,No,"{'latitude': '42.6962', 'longitude': '-73.68806'}",110,11,2138
S. Broadway & Fenlon Ave,12879,-73.788944,43.067507,,SARATOGA SPRINGS,MUSEUM OF DANCE DRIVEWAY,No,No,No,No,Yes,No,"{'latitude': '43.067507', 'longitude': '-73.788944'}",994,147,2141
Station Ln & West Ave,12193,-73.804795,43.082961,451,SARATOGA SPRINGS,STATION,No,No,No,No,Yes,No,"{'latitude': '43.082961', 'longitude': '-73.804795'}",994,147,2141
State St & Steuben St - Steuben Station,3200,-73.932253,42.805445,"355, 905",SCHENECTADY,STEUBEN,No,Yes,Yes,No,Yes,No,"{'latitude': '42.805445', 'longitude': '-73.932253'}",104,76,2142
State St & Fehr Ave,2447,-73.91685,42.79189,355,SCHENECTADY,FEHR,No,Yes,Yes,No,Yes,No,"{'latitude': '42.79189', 'longitude': '-73.91685'}",104,73,2142
185 Van Rensselaer Blvd,3265,-73.742047,42.683601,182,COLONIE,HENDRICK,No,No,No,No,Yes,No,"{'latitude': '42.683601', 'longitude': '-73.742047'}",834,41,2030
