Description,Stop ID,Longitude,Latitude,Routes,Municipality,Nearest Intersection,Bikerack,Bench,Shelter,Info Booth,Signpost,Discontinued,Location,NYS Municipal Boundaries,New York Zip Codes,Counties
2100 Rt 50 (Carousel Village),2321,,,"450, 451",MILTON,UNKNOWN,No,No,No,No,Yes,No,,,,
Morton Ave & Grand St,3495,,,"100, 801",ALBANY,GRAND,No,No,No,No,Yes,No,,,,
2nd Ave & 112th St,4247,-73.67892,42.77085,85,TROY,111TH,No,No,No,No,Yes,No,"{'latitude': '42.77085', 'longitude': '-73.67892'}",110,12,2138
New Turnpike Rd & 125th St,4310,,,80,TROY,NORTHERN,No,No,No,No,Yes,No,,,,
Lakeview Ave & Chrisler Ave,12471,,,353,SCHENECTADY,CHRISLER,No,No,No,No,Yes,No,,,,
Menands Rd & Fernwood Dr,12676,,,182,COLONIE,MENAND,No,No,No,No,Yes,No,,,,
Ontario St & Remsen St,19253,-73.70135,42.774288,182,COHOES,REMSEN,No,No,No,No,Yes,No,"{'latitude': '42.774288', 'longitude': '-73.70135'}",835,1176,2030
Columbia Circle E. Dr & Executive Centre Dr,12816,-73.859141,42.702569,155,ALBANY,COLUMBIA CIRCLE,No,No,No,No,Yes,No,"{'latitude': '42.702569', 'longitude': '-73.859141'}",814,40,2030
Delaware Ave & Morton Ave,2951,-73.77164,42.64548,"18,801, 805",ALBANY,HOLLAND,No,No,No,No,Yes,No,"{'latitude': '42.64548', 'longitude': '-73.77164'}",814,46,2030
Central Ave & Balltown Rd,2422,-73.893037,42.77072,355,NISKAYUNA,BALLTOWN,No,Yes,Yes,No,Yes,No,"{'latitude': '42.77072', 'longitude': '-73.893037'}",107,73,2142
4th St & 1st St,367,-73.69717,42.70852,"85, 224",TROY,ST LUKES,No,No,No,No,Yes,No,"{'latitude': '42.70852', 'longitude': '-73.69717'}",110,11,2138
Vanderheyden Hall,10978,-73.614608,42.690563,286,NORTH GREENBUSH,VANDERHEYDEN HALL-RT80,No,No,No,No,Yes,No,"{'latitude': '42.690563', 'longitude': '-73.614608'}",125,38,2138
3rd Ave & Washington St,11419,-73.7449,42.63909,"214, 808",RENSSELAER,WASHINGTON,No,No,No,No,Yes,No,"{'latitude': '42.63909', 'longitude': '-73.7449'}",115,1309,2138
Pine Grove Apts,3543,-73.939705,42.76349,763,ROTTERDAM,CARMAN,No,No,No,No,Yes,No,"{'latitude': '42.76349', 'longitude': '-73.939705'}",105,72,2142
S. Allen St & Cortland Ave,1211,-73.79729,42.66153,"138,801,804, 805",ALBANY,MERCER,No,No,No,No,Yes,No,"{'latitude': '42.66153', 'longitude': '-73.79729'}",814,45,2030
State St & Robinson St,2263,-73.92107,42.79543,355,SCHENECTADY,ELDER,No,Yes,No,No,Yes,No,"{'latitude': '42.79543', 'longitude': '-73.92107'}",104,73,2142
5th St & Vley Rd,12489,-73.96281,42.83288,353,GLENVILLE,VLEY,No,No,No,No,Yes,No,"{'latitude': '42.83288', 'longitude': '-73.96281'}",108,50,2142
Wade Rd Ext @ Latham Center,12659,-73.770036,42.758518,190,COLONIE,FORTS FERRY,No,No,No,No,Yes,No,"{'latitude': '42.758518', 'longitude': '-73.770036'}",834,1288,2030
Rt 2 & Cemetery,11117,-73.725391,42.737414,370,COLONIE,STATE HWY 2,No,No,No,No,Yes,No,"{'latitude': '42.737414', 'longitude': '-73.725391'}",834,19,2030
Pawling Ave & Mountainview Ave,4344,-73.654485,42.70111,286,TROY,WOOL,No,No,No,No,Yes,No,"{'latitude': '42.70111', 'longitude': '-73.654485'}",110,11,2138
2nd Ave& 113th St,838,-73.67838,42.77235,85,TROY,113TH,No,No,No,No,Yes,No,"{'latitude': '42.77235', 'longitude': '-73.67838'}",110,12,2138
Washington Ave & Lexington Ave,12943,-73.76814,42.659382,12,ALBANY,SPRAGUE,No,No,No,No,Yes,No,"{'latitude': '42.659382', 'longitude': '-73.76814'}",814,43,2030
Exit 15 Park & Ride,12306,,,"475, 540",WILTON,UNKNOWN,No,No,Yes,No,Yes,No,,,,
Rt 20 & Posson Rd,3677,-73.92945,42.71297,763,GUILDERLAND,GAY LANE,No,No,No,No,Yes,No,"{'latitude': '42.71297', 'longitude': '-73.92945'}",832,72,2030
Central Ave & N. Allen St - N. Allen Station,148,-73.782993,42.673992,"1,125,712,807, 905",ALBANY,COLBY,No,Yes,Yes,No,Yes,No,"{'latitude': '42.673992', 'longitude': '-73.782993'}",814,43,2030
Albany Shaker Rd & Maria Dr,2076,-73.78423,42.7148,737,COLONIE,MARIE,No,No,No,No,Yes,No,"{'latitude': '42.7148', 'longitude': '-73.78423'}",834,42,2030
N Mohawk St & Church St,11062,-73.70993,42.78396,802,COHOES,CHURCH,No,No,No,No,Yes,No,"{'latitude': '42.78396', 'longitude': '-73.70993'}",835,1176,2030
Columbia Tpke & Van's Gift Store,2597,-73.68522,42.56918,233,SCHODACK,KRUG,No,No,No,No,Yes,No,"{'latitude': '42.56918', 'longitude': '-73.68522'}",112,1158,2138
Central Ave & Willow Ave,2278,-73.8424,42.72613,355,COLONIE,PINE,No,No,No,No,Yes,No,"{'latitude': '42.72613', 'longitude': '-73.8424'}",834,42,2030
Whitehall Rd & Cardinal Ave,11931,-73.802122,42.647612,"6,801,804, 805",ALBANY,STANFORD,No,No,No,No,Yes,No,"{'latitude': '42.647612', 'longitude': '-73.802122'}",814,46,2030
Rt 50 & Worden Rd,2347,-73.94276,42.849855,450,GLENVILLE,WORDEN,No,No,No,No,Yes,No,"{'latitude': '42.849855', 'longitude': '-73.94276'}",108,50,2142
Sand Creek Rd & Russell Rd,617,-73.78191,42.68894,125,COLONIE,RUSSELL,No,No,No,No,Yes,No,"{'latitude': '42.68894', 'longitude': '-73.78191'}",834,42,2030
Pawling Ave & Victoria Ave,4490,-73.65313,42.70024,286,TROY,VICTORIA,No,No,No,No,Yes,No,"{'latitude': '42.70024', 'longitude': '-73.65313'}",110,11,2138
Altamont Rd & Yellow Rock Ln,12763,-73.989542,42.658114,719,NEW SCOTLAND,YELLOW ROCK,No,No,No,No,Yes,No,"{'latitude': '42.658114', 'longitude': '-73.989542'}",830,1142,2030
Western Ave & Russell Rd,870,-73.81613,42.67431,"10,11,763,806, 808",ALBANY,OXFORD,No,No,No,No,Yes,No,"{'latitude': '42.67431', 'longitude': '-73.81613'}",814,40,2030
Tibbits Ave & Brunswick Ave,2883,-73.67619,42.72528,87,TROY,15TH,No,No,No,No,Yes,No,"{'latitude': '42.72528', 'longitude': '-73.67619'}",110,11,2138
Columbia Tpke & Kraft Rd,2583,-73.68407,42.56707,233,SCHODACK,KRAFT,No,No,No,No,Yes,No,"{'latitude': '42.56707', 'longitude': '-73.68407'}",112,1158,2138
Saratoga St & Dyke Ave,11040,-73.699728,42.761657,182,COHOES,SPRING,No,No,No,No,Yes,No,"{'latitude': '42.761657', 'longitude': '-73.699728'}",835,1176,2030
Bloomingrove Senior Apt (N Greenbush Shopping Bus),12838,,,821,NORTH GREENBUSH,UNKNOWN,No,No,No,No,No,No,,,,
Watervliet Ave & Hunter Ave,10841,-73.78311,42.67569,"99,125,138,803, 804",ALBANY,HUNTER,No,No,No,No,Yes,No,"{'latitude': '42.67569', 'longitude': '-73.78311'}",814,43,2030
Madison Ave & N. Main Ave,3333,-73.78879,42.66457,"114,763,805, 806",ALBANY,MADISON,No,No,No,No,Yes,No,"{'latitude': '42.66457', 'longitude': '-73.78879'}",814,40,2030
Worth St & Jefferson St,12847,,,"451, 840",SARATOGA SPRINGS,JEFFERSON,No,No,Yes,No,Yes,No,,,,
Delaware Ave & Dyer Terr,1327,-73.83691,42.62077,18,BETHLEHEM,ADAMS,No,No,No,No,Yes,No,"{'latitude': '42.62077', 'longitude': '-73.83691'}",837,1180,2030
15th St & Tibbits Ave,11739,-73.67841,42.72555,286,TROY,KANE,No,No,No,No,Yes,No,"{'latitude': '42.72555', 'longitude': '-73.67841'}",110,11,2138
Cherry Ave & Kimberly Pl,2103,-73.8536,42.61828,"18, 719",BETHLEHEM,KIMBERLY,No,No,No,No,Yes,No,"{'latitude': '42.61828', 'longitude': '-73.8536'}",837,1180,2030
N. Allen St & Washington Ave,2631,-73.78738,42.67086,"138,803, 804",ALBANY,WASHINGTON,No,No,No,No,Yes,No,"{'latitude': '42.67086', 'longitude': '-73.78738'}",814,43,2030
Albany International Airport,175,-73.809184,42.744491,"117,155, 737",COLONIE,ALBANY INTERNATIONAL AIRPORT,No,No,No,No,Yes,No,"{'latitude': '42.744491', 'longitude': '-73.809184'}",834,1288,2030
Cook Dr & RPI Houston Field House,12011,-73.66978,42.7317,286,TROY,UNKNOWN,No,No,No,No,Yes,No,"{'latitude': '42.7317', 'longitude': '-73.66978'}",110,11,2138
2nd Ave & 23rd St,4187,-73.70108,42.73254,522,WATERVLIET,21ST,No,No,No,No,Yes,No,"{'latitude': '42.73254', 'longitude': '-73.70108'}",828,19,2030
Lawn Ave & Tubman Cir,10588,-73.74117,42.67721,804,ALBANY,TUBMAN,No,No,No,No,No,No,"{'latitude': '42.67721', 'longitude': '-73.74117'}",814,41,2030
Washington Ave & Robin St,3254,-73.769907,42.660534,"12, 805",ALBANY,ROBIN,No,No,No,No,Yes,No,"{'latitude': '42.660534', 'longitude': '-73.769907'}",814,43,2030
15th St & Jacob St,12955,,,289,TROY,PEOPLES,No,No,No,No,Yes,No,,,,
McCarty Ave  (Christian Pulmeri Sports Complex),10339,-73.772641,42.635142,716,ALBANY,FRISBEE,No,No,No,No,Yes,No,"{'latitude': '42.635142', 'longitude': '-73.772641'}",814,39,2030
Watervliet Ave & Essex St,9013,-73.78119,42.67833,"99,125, 803",ALBANY,ESSEX,No,Yes,Yes,No,Yes,No,"{'latitude': '42.67833', 'longitude': '-73.78119'}",814,43,2030
Union St & Troy Pl,2486,-73.89906,42.80241,370,NISKAYUNA,TROY,No,No,No,No,Yes,No,"{'latitude': '42.80241', 'longitude': '-73.89906'}",107,78,2142
Arch St & Paine St,11030,-73.69193,42.74587,"182, 809",GREEN ISLAND,GEORGE,No,No,No,No,Yes,No,"{'latitude': '42.74587', 'longitude': '-73.69193'}",833,13,2030
Mt. Hope Dr & Garland Ct,10684,-73.77141,42.63189,"7,716,805, 806",ALBANY,GARLAND,No,No,Yes,No,Yes,No,"{'latitude': '42.63189', 'longitude': '-73.77141'}",814,39,2030
Lake Ave & East St,11507,-73.771366,43.084047,540,SARATOGA SPRINGS,EAST,No,No,No,No,Yes,No,"{'latitude': '43.084047', 'longitude': '-73.771366'}",994,147,2141
2nd Ave & 118th St,4402,-73.675603,42.778228,85,TROY,117TH,No,No,No,No,Yes,No,"{'latitude': '42.778228', 'longitude': '-73.675603'}",110,12,2138
Hackett Blvd & Hopewell St,2050,-73.81432,42.65493,805,ALBANY,HOPEWELL,No,No,No,No,Yes,No,"{'latitude': '42.65493', 'longitude': '-73.81432'}",814,45,2030
Lark St & 3rd (Edmund O'Neal MS),12937,,,804,ALBANY,LIVINGSTON,No,No,No,No,No,No,,,,
Delaware Ave & Elm St,3214,-73.7681,42.65149,"18,801, 806",ALBANY,DANA,No,No,No,No,Yes,No,"{'latitude': '42.65149', 'longitude': '-73.7681'}",814,45,2030
Burdett Ave & Eagle St,7149,-73.67108,42.73452,87,TROY,EDDY CTR,No,No,No,No,Yes,No,"{'latitude': '42.73452', 'longitude': '-73.67108'}",110,11,2138
Partridge St & Mercer St,1127,-73.78803,42.65822,805,ALBANY,RIDGEFIELD,No,No,No,No,Yes,No,"{'latitude': '42.65822', 'longitude': '-73.78803'}",814,45,2030
Congress St & 5th St,4330,-73.68809,42.72852,"289, 999",TROY,5TH,No,No,No,No,Yes,No,"{'latitude': '42.72852', 'longitude': '-73.68809'}",110,11,2138
Madison Ave & Ontario St,342,-73.782217,42.660706,"114,763, 806",ALBANY,ONTARIO,No,No,No,No,Yes,No,"{'latitude': '42.660706', 'longitude': '-73.782217'}",814,45,2030
1932 Schodack Rd,10920,-73.66302,42.55561,520,SCHODACK,SCHODACK,No,No,No,No,Yes,No,"{'latitude': '42.55561', 'longitude': '-73.66302'}",112,1158,2138
Rt 50 & 5th St,3602,-73.95703,42.832891,450,GLENVILLE,IRVING,No,No,No,No,Yes,No,"{'latitude': '42.832891', 'longitude': '-73.95703'}",108,50,2142
Carman Rd & Ronald Pl,3542,-73.94295,42.7521,763,GUILDERLAND,RONALD,No,No,No,No,Yes,No,"{'latitude': '42.7521', 'longitude': '-73.94295'}",832,72,2030
Pawling Ave & Locust Ave,12348,,,"286, 289",TROY,WALKER,No,No,No,No,Yes,No,,,,
Rt 2 & Sunset Dr,12366,-73.76371,42.75001,182,COLONIE,STATE HWY 2,No,No,No,No,Yes,No,"{'latitude': '42.75001', 'longitude': '-73.76371'}",834,1288,2030
Rt 50 & Whitebeach Rd,2412,-73.873589,42.939174,450,BALLSTON,WHITE BEACH,No,No,No,No,Yes,No,"{'latitude': '42.939174', 'longitude': '-73.873589'}",1011,1147,2141
241 McClellan St (Daly Funeral Home),12445,-73.9212,42.80304,352,SCHENECTADY,BECKER,No,No,No,No,Yes,No,"{'latitude': '42.80304', 'longitude': '-73.9212'}",104,73,2142
Western Ave & Ontario St,257,-73.77996,42.6627,"10,11, 808",ALBANY,ONTARIO,No,No,Yes,No,Yes,No,"{'latitude': '42.6627', 'longitude': '-73.77996'}",814,40,2030
McClellan St & Grand Blvd,12439,-73.90752,42.81623,352,SCHENECTADY,GRAND,No,No,No,No,Yes,No,"{'latitude': '42.81623', 'longitude': '-73.90752'}",104,77,2142
112th St & 2nd Ave,11546,-73.67956,42.77126,809,TROY,1ST,No,No,No,No,Yes,No,"{'latitude': '42.77126', 'longitude': '-73.67956'}",110,12,2138
Hackett Blvd & Westford St,11606,-73.812023,42.653651,"734, 805",ALBANY,WESTFORD,No,No,No,No,Yes,No,"{'latitude': '42.653651', 'longitude': '-73.812023'}",814,45,2030
5th Ave & 123rd St,4500,-73.669289,42.78355,80,TROY,123RD,No,No,No,No,Yes,No,"{'latitude': '42.78355', 'longitude': '-73.669289'}",110,12,2138
707 Washington Ave (Albany HS),11338,-73.78333,42.66752,805,ALBANY,UNKNOWN,No,No,No,No,Yes,No,"{'latitude': '42.66752', 'longitude': '-73.78333'}",814,40,2030
Wolf Rd & Ulenski Dr,10516,-73.797617,42.725649,"117, 190",COLONIE,WOLF,No,No,No,No,Yes,No,"{'latitude': '42.725649', 'longitude': '-73.797617'}",834,42,2030
Myrtle Ave & Delaware Ave,11448,-73.76855,42.65019,"805, 806",ALBANY,DOVE,No,No,No,No,Yes,No,"{'latitude': '42.65019', 'longitude': '-73.76855'}",814,39,2030
Washington Ave & Quay St,10777,-73.710961,42.656504,"214, 808",RENSSELAER,QUAY,No,No,No,No,Yes,No,"{'latitude': '42.656504', 'longitude': '-73.710961'}",115,1309,2138
2152 Van Vranken Ave,11280,-73.91965,42.83117,998,SCHENECTADY,VAN VRANKEN,No,No,No,No,Yes,No,"{'latitude': '42.83117', 'longitude': '-73.91965'}",104,77,2142
Lake Ave & Circular St,12233,-73.7796,43.08298,451,SARATOGA SPRINGS,CIRCULAR,No,No,No,No,Yes,No,"{'latitude': '43.08298', 'longitude': '-73.7796'}",994,147,2141
3rd St & Colby St,1495,-73.7798,42.67534,"138, 804",ALBANY,COLBY,No,No,No,No,Yes,No,"{'latitude': '42.67534', 'longitude': '-73.7798'}",814,43,2030
Hillside Ave & Rosa Rd,10226,-73.902974,42.831335,351,NISKAYUNA,UNKNOWN,No,No,No,No,Yes,No,"{'latitude': '42.831335', 'longitude': '-73.902974'}",107,78,2142
Quail St & Washington Ave,3423,-73.77515,42.66384,"99,100, 803",ALBANY,BENSON,No,No,No,No,Yes,No,"{'latitude': '42.66384', 'longitude': '-73.77515'}",814,43,2030
Whitehall Rd & Betwood St,1069,-73.79547,42.64525,"6,801,804,805, 806",ALBANY,KELTON,No,No,No,No,Yes,No,"{'latitude': '42.64525', 'longitude': '-73.79547'}",814,46,2030
Quail St & Clinton Ave,10701,-73.77084,42.66685,"100,803, 805",ALBANY,1ST,No,No,No,No,Yes,No,"{'latitude': '42.66685', 'longitude': '-73.77084'}",814,43,2030
Westerlo St & Civil Ave (Civil Senior Center),12628,,,813,COEYMANS,CIVILL,No,No,No,No,Yes,No,,,,
Rt 2 & Delatour Rd,3756,-73.73071,42.73833,370,COLONIE,STATE HWY 2,No,No,No,No,Yes,No,"{'latitude': '42.73833', 'longitude': '-73.73071'}",834,19,2030
Hackett Blvd & St. James Pl,2551,-73.78181,42.64393,"734, 805",ALBANY,ST JAMES,No,No,No,No,Yes,No,"{'latitude': '42.64393', 'longitude': '-73.78181'}",814,46,2030
Albany Shaker Rd & St. Agnes Ln,2685,-73.75257,42.67457,737,ALBANY,OLD HICKORY,No,No,No,No,Yes,No,"{'latitude': '42.67457', 'longitude': '-73.75257'}",814,41,2030
New Scotland Rd & McCormack Rd,1045,-73.835911,42.649491,"13, 113",ALBANY,MCCORMACK,No,Yes,Yes,No,Yes,No,"{'latitude': '42.649491', 'longitude': '-73.835911'}",814,45,2030
Albany Shaker Rd & Williams Park Rd,2048,-73.78485,42.71561,737,COLONIE,WILLIAMS PARK,No,No,No,No,Yes,No,"{'latitude': '42.71561', 'longitude': '-73.78485'}",834,42,2030
SUNY Plaza - Broadway Station,3248,-73.750363,42.647785,"1,13,18,114,125,138,737,763,808, 905",ALBANY,BROADWAY,No,Yes,Yes,No,Yes,No,"{'latitude': '42.647785', 'longitude': '-73.750363'}",814,44,2030
New Scotland Ave & Academy Rd,701,-73.7849,42.653,"13,100,801, 806",ALBANY,WOODLAWN,No,No,No,No,Yes,No,"{'latitude': '42.653', 'longitude': '-73.7849'}",814,45,2030
Old Wolf Rd & Northway Ln,12701,,,190,COLONIE,TERMINAL,No,No,No,No,Yes,No,,,,
New Loudon Rd & Stewart's,11067,-73.76044,42.72908,182,COLONIE,UNKNOWN,No,Yes,No,No,Yes,No,"{'latitude': '42.72908', 'longitude': '-73.76044'}",834,1288,2030
S. Pearl St & Gansevoort St,2633,-73.75873,42.63821,"6,7,716,801,803,804,805, 809",ALBANY,GANSEVOORT,No,No,Yes,No,Yes,No,"{'latitude': '42.63821', 'longitude': '-73.75873'}",814,39,2030
Burdett Ave & Samaritan Hospital,10970,-73.67146,42.73352,87,TROY,PEOPLES,No,Yes,Yes,No,Yes,No,"{'latitude': '42.73352', 'longitude': '-73.67146'}",110,11,2138
Garner St & Worth St,4166,-73.70872,42.77708,"182, 802",COHOES,WORTH,No,No,No,No,Yes,No,"{'latitude': '42.77708', 'longitude': '-73.70872'}",835,1176,2030
Proctors Theatre,12920,-73.94139,42.812568,871,SCHENECTADY,BROADWAY,No,No,No,No,No,No,"{'latitude': '42.812568', 'longitude': '-73.94139'}",104,74,2142
3403 Carman Rd,1606,-73.94203,42.74844,763,GUILDERLAND,FULLER STATION,No,No,No,No,Yes,No,"{'latitude': '42.74844', 'longitude': '-73.94203'}",832,72,2030
Main Ave & VanWoert Ct,10985,-73.64662,42.69726,286,NORTH GREENBUSH,MAIN,No,No,No,No,Yes,No,"{'latitude': '42.69726', 'longitude': '-73.64662'}",125,38,2138
Broad & 5th,12787,,,85,WATERFORD,5TH,No,No,No,No,Yes,No,,,,
Watervliuet Shaker Rd & Career Path,12643,-73.83713,42.743269,155,COLONIE,STATE HWY 155,No,No,No,No,Yes,No,"{'latitude': '42.743269', 'longitude': '-73.83713'}",834,78,2030
Heritage Ln & Airline Drive,12760,-73.81755,42.73912,155,COLONIE,HERITAGE,No,No,No,No,Yes,No,"{'latitude': '42.73912', 'longitude': '-73.81755'}",834,48,2030
2nd Ave & Putnam St,3363,-73.76888,42.63916,"801,803,804,805, 809",ALBANY,BOENAU,No,No,No,No,Yes,No,"{'latitude': '42.63916', 'longitude': '-73.76888'}",814,39,2030
120 Hoosick St,2892,-73.67626,42.73911,"87, 96",TROY,HOOSICK,No,Yes,Yes,No,Yes,No,"{'latitude': '42.73911', 'longitude': '-73.67626'}",110,11,2138
Curry Rd & Fort Hunter Rd,11242,-73.948892,42.772146,763,ROTTERDAM,FERGUSON,No,No,No,No,Yes,No,"{'latitude': '42.772146', 'longitude': '-73.948892'}",105,72,2142
Kenwood Ave & Union Ave,1399,-73.85937,42.62819,719,BETHLEHEM,UNION,No,No,No,No,Yes,No,"{'latitude': '42.62819', 'longitude': '-73.85937'}",837,1406,2030
Broadway & Huestis Ct,12878,-73.786782,43.076617,875,SARATOGA SPRINGS,HUESTIS,No,No,No,No,Yes,No,"{'latitude': '43.076617', 'longitude': '-73.786782'}",994,147,2141
Lark Dr & Capital Woods Apts #1,665,-73.74925,42.6643,"100,138,801,803, 805",ALBANY,LARK,No,No,No,No,Yes,No,"{'latitude': '42.6643', 'longitude': '-73.74925'}",814,47,2030
Circular St & North St,12863,,,452,SARATOGA SPRINGS,BANK ALY,No,No,No,No,Yes,No,,,,
Nott St & Lexington Ave,2815,-73.90458,42.81722,354,SCHENECTADY,NOTT,No,No,No,No,Yes,No,"{'latitude': '42.81722', 'longitude': '-73.90458'}",104,78,2142
550 Broadway (British American Realty),1,-73.71619,42.70225,"22, 809",COLONIE,UNKNOWN,No,No,No,No,Yes,No,"{'latitude': '42.70225', 'longitude': '-73.71619'}",834,41,2030
207 Mohawk Ave,3572,-73.96504,42.8268,353,GLENVILLE,TEN BROECK,No,Yes,Yes,No,Yes,No,"{'latitude': '42.8268', 'longitude': '-73.96504'}",108,50,2142
Wood Ave & Kailberg Rd,12432,-73.91312,42.83279,351,SCHENECTADY,LENOX,No,No,No,No,Yes,No,"{'latitude': '42.83279', 'longitude': '-73.91312'}",104,78,2142
State St & Fenwick St,2446,-73.90896,42.78488,355,SCHENECTADY,STATE HWY 5,No,No,Yes,No,Yes,No,"{'latitude': '42.78488', 'longitude': '-73.90896'}",104,73,2142
Broadway & Cramer St,1660,-73.9757,42.792705,351,ROTTERDAM,MELROSE,No,No,No,No,Yes,No,"{'latitude': '42.792705', 'longitude': '-73.9757'}",105,75,2142
Maple Rd & Forest Rd,2198,-73.91302,42.64656,719,NEW SCOTLAND,MAPLE,No,No,No,No,Yes,No,"{'latitude': '42.64656', 'longitude': '-73.91302'}",830,16,2030
Columbia Tpke & Greenwood Dr,10889,-73.699757,42.588879,233,EAST GREENBUSH,PARK,No,No,No,No,Yes,No,"{'latitude': '42.588879', 'longitude': '-73.699757'}",129,1186,2138
Garner St & Worth St,4099,-73.70888,42.7771,"182, 802",COHOES,WORTH,No,No,No,No,Yes,No,"{'latitude': '42.7771', 'longitude': '-73.70888'}",835,1176,2030
1502 Chrisler Ave (Mont Pleasant Commons),11169,-73.93931,42.79162,353,SCHENECTADY,UNKNOWN,No,Yes,Yes,No,Yes,No,"{'latitude': '42.79162', 'longitude': '-73.93931'}",104,72,2142
4th St & Canal St,11157,-73.691564,42.719642,"85, 224",TROY,CANAL,No,No,No,No,Yes,No,"{'latitude': '42.719642', 'longitude': '-73.691564'}",110,11,2138
Central Ave & Henry Johnson Blvd,223,-73.7653,42.65834,"1, 807",ALBANY,HENRY JOHNSON,No,No,No,No,Yes,No,"{'latitude': '42.65834', 'longitude': '-73.7653'}",814,43,2030
Western Ave & Norwood St,10193,-73.83388,42.679965,"10,763,806, 808",GUILDERLAND,WAVERLY,No,No,No,No,Yes,No,"{'latitude': '42.679965', 'longitude': '-73.83388'}",832,40,2030
Spring St & Henry St,12305,-73.783314,43.079418,452,SARATOGA SPRINGS,HENRY,No,No,No,No,Yes,No,"{'latitude': '43.079418', 'longitude': '-73.783314'}",994,147,2141
Guilderland Ave & Harrison Ave,10201,-73.96754,42.79095,763,SCHENECTADY,HARRISON,No,No,No,No,Yes,No,"{'latitude': '42.79095', 'longitude': '-73.96754'}",104,75,2142
Northern Blvd & Shaker Rd,3441,-73.750533,42.673302,182,ALBANY,UNKNOWN,No,No,No,No,Yes,No,"{'latitude': '42.673302', 'longitude': '-73.750533'}",814,41,2030
Stuyvesant Plaza (US Post Office),10623,-73.84052,42.68394,"10, 808",GUILDERLAND,STUYVESANT PLAZA,No,No,No,No,Yes,No,"{'latitude': '42.68394', 'longitude': '-73.84052'}",832,40,2030
Sand Creek Rd & Admiral St,1500,-73.79218,42.69793,125,COLONIE,ADMIRAL,No,No,No,No,Yes,No,"{'latitude': '42.69793', 'longitude': '-73.79218'}",834,42,2030
Sand Creek Rd & Wilkins Ave,1094,-73.78656,42.69312,125,COLONIE,OLD MYERS,No,No,No,No,Yes,No,"{'latitude': '42.69312', 'longitude': '-73.78656'}",834,42,2030
Broadway @ Congress Park Centre,12194,-73.78609,43.07896,"450,475,540, 875",SARATOGA SPRINGS,CONGRESS,No,No,Yes,No,No,No,"{'latitude': '43.07896', 'longitude': '-73.78609'}",994,147,2141
Lakeview Ave & Crane St,12474,-73.9437,42.79187,353,SCHENECTADY,LAKEVIEW,No,No,No,No,Yes,No,"{'latitude': '42.79187', 'longitude': '-73.9437'}",104,72,2142
River St & Ingalls Ave,10990,-73.683,42.74704,85,TROY,MIDDLEBURGH,No,No,No,No,Yes,No,"{'latitude': '42.74704', 'longitude': '-73.683'}",110,11,2138
Rt 7 & Niskayuna Rd,3623,-73.83067,42.77507,370,NISKAYUNA,STATE HWY 7,No,No,No,No,Yes,No,"{'latitude': '42.77507', 'longitude': '-73.83067'}",107,78,2142
Quad Graphics,11469,-73.8289,43.06313,"450, 451",SARATOGA SPRINGS,QUAD GRAPHICS,No,No,No,No,Yes,No,"{'latitude': '43.06313', 'longitude': '-73.8289'}",994,147,2141
Van Rensselaer Heights,10747,-73.72884,42.65937,214,RENSSELAER,UNKNOWN,No,No,No,No,Yes,No,"{'latitude': '42.65937', 'longitude': '-73.72884'}",115,1309,2138
Morton Ave & S. Hawk St,1229,-73.76551,42.64387,"100, 805",ALBANY,HAWK ST,No,No,No,No,Yes,No,"{'latitude': '42.64387', 'longitude': '-73.76551'}",814,39,2030
Rt 2 & Latham Village Ln,2918,-73.75189,42.74493,370,COLONIE,ARAGON,No,No,No,No,Yes,No,"{'latitude': '42.74493', 'longitude': '-73.75189'}",834,1288,2030
Western Ave & Homes Terr,404,-73.8632,42.689191,"117,719,763,801, 806",GUILDERLAND,US HWY 20,No,No,No,No,Yes,No,"{'latitude': '42.689191', 'longitude': '-73.8632'}",832,40,2030
Union St & Park Ave,3665,-73.92595,42.81265,"370, 998",SCHENECTADY,UNIVERSITY,No,No,No,No,Yes,No,"{'latitude': '42.81265', 'longitude': '-73.92595'}",104,77,2142
Carman Rd & Sunset Ln,1612,-73.93779,42.72695,763,GUILDERLAND,OLD STATE,No,No,No,No,Yes,No,"{'latitude': '42.72695', 'longitude': '-73.93779'}",832,72,2030
Guilderland Ave & Hegeman St,3510,-73.96376,42.79464,763,SCHENECTADY,HEGEMAN,No,No,No,No,Yes,No,"{'latitude': '42.79464', 'longitude': '-73.96376'}",104,75,2142
101 Mohawk Ave,12380,-73.96192,42.82533,353,GLENVILLE,BALLSTON,No,No,No,No,Yes,No,"{'latitude': '42.82533', 'longitude': '-73.96192'}",108,50,2142
SUNY Polytechnic Institute - Fuller Rd,12820,-73.830502,42.69041,"117,190, 806",ALBANY,FULLER,No,No,Yes,No,Yes,No,"{'latitude': '42.69041', 'longitude': '-73.830502'}",814,49,2030
Delaware Ave & Winne Rd,1829,-73.83751,42.62052,18,BETHLEHEM,DYER,No,No,No,No,Yes,No,"{'latitude': '42.62052', 'longitude': '-73.83751'}",837,1180,2030
Van Vranken Ave & Hattie St,2414,-73.92632,42.8209,"351, 998",SCHENECTADY,HATTIE,No,No,No,No,Yes,No,"{'latitude': '42.8209', 'longitude': '-73.92632'}",104,77,2142
